roll, pitch,
-0.350436, -1.183324, 
-0.349871, -1.183011, 
-0.350712, -1.183539, 
-0.349812, -1.183733, 
-0.349168, -1.184942, 
-0.349675, -1.183665, 
-0.351623, -1.181724, 
-0.351792, -1.181894, 
-0.350696, -1.182995, 
-0.349578, -1.183203, 
-0.350264, -1.183712, 
-0.350436, -1.182834, 
-0.353004, -1.180197, 
-0.351049, -1.183235, 
-0.351584, -1.181562, 
-0.352591, -1.180824, 
-0.350598, -1.182567, 
-0.351969, -1.183014, 
-0.351150, -1.182450, 
-0.350729, -1.182679, 
-0.350338, -1.182763, 
-0.350267, -1.183671, 
-0.351044, -1.183085, 
-0.351763, -1.182035, 
-0.350270, -1.183663, 
-0.351049, -1.182519, 
-0.351709, -1.182247, 
-0.349161, -1.184145, 
-0.348840, -1.185252, 
-0.349889, -1.184470, 
-0.352194, -1.180699, 
-0.350715, -1.182946, 
-0.350180, -1.183049, 
-0.349157, -1.184323, 
-0.350003, -1.184721, 
-0.351111, -1.184197, 
-0.348553, -1.184894, 
-0.351501, -1.182371, 
-0.350459, -1.183067, 
-0.351322, -1.182840, 
-0.349044, -1.185716, 
-0.349886, -1.184056, 
-0.349397, -1.184110, 
-0.351775, -1.182101, 
-0.349953, -1.184850, 
-0.351579, -1.182002, 
-0.349927, -1.184243, 
-0.350523, -1.183159, 
-0.349622, -1.183445, 
-0.349798, -1.185382, 
-0.350146, -1.183698, 
-0.350130, -1.184128, 
-0.348647, -1.185440, 
-0.350210, -1.184177, 
-0.349646, -1.184361, 
-0.350575, -1.183413, 
-0.349744, -1.183813, 
-0.350706, -1.182740, 
-0.350298, -1.183100, 
-0.349054, -1.184916, 
-0.351086, -1.183172, 
-0.350105, -1.184871, 
-0.350797, -1.182761, 
-0.350002, -1.183978, 
-0.348481, -1.185738, 
-0.348753, -1.184893, 
-0.352325, -1.181986, 
-0.351640, -1.181841, 
-0.351470, -1.182680, 
-0.349453, -1.185740, 
-0.348657, -1.185536, 
-0.350432, -1.183300, 
-0.348457, -1.185023, 
-0.350568, -1.183007, 
-0.351156, -1.182498, 
-0.350340, -1.183674, 
-0.350476, -1.183380, 
-0.351563, -1.183016, 
-0.350727, -1.183532, 
-0.349701, -1.184964, 
-0.350799, -1.182430, 
-0.349823, -1.184708, 
-0.351092, -1.182571, 
-0.349771, -1.184422, 
-0.351265, -1.183245, 
-0.352795, -1.181201, 
-0.349672, -1.184520, 
-0.348554, -1.186351, 
-0.347584, -1.186311, 
-0.350508, -1.183167, 
-0.352009, -1.181710, 
-0.351252, -1.183445, 
-0.349905, -1.183615, 
-0.348171, -1.186105, 
-0.348804, -1.184894, 
-0.349549, -1.184452, 
-0.352929, -1.180562, 
-0.350933, -1.182826, 
-0.348690, -1.185749, 
-0.350093, -1.184453, 
-0.348076, -1.185575, 
-0.348733, -1.185337, 
-0.349254, -1.184028, 
-0.349490, -1.184550, 
-0.348356, -1.185815, 
-0.350012, -1.184147, 
-0.350379, -1.183734, 
-0.350455, -1.184244, 
-0.350591, -1.183402, 
-0.349376, -1.186512, 
-0.348359, -1.185640, 
-0.349282, -1.185224, 
-0.349957, -1.183348, 
-0.349624, -1.184129, 
-0.351113, -1.183230, 
-0.350541, -1.183922, 
-0.349048, -1.185289, 
-0.350224, -1.184075, 
-0.349763, -1.184673, 
-0.349931, -1.183907, 
-0.349638, -1.184742, 
-0.350351, -1.184419, 
-0.349118, -1.185331, 
-0.349914, -1.185336, 
-0.350445, -1.183885, 
-0.350959, -1.182954, 
-0.347697, -1.186505, 
-0.347216, -1.187384, 
-0.350622, -1.184862, 
-0.350027, -1.184108, 
-0.351294, -1.182690, 
-0.348519, -1.186417, 
-0.351404, -1.183877, 
-0.349605, -1.184112, 
-0.349347, -1.184895, 
-0.351170, -1.182561, 
-0.350017, -1.184198, 
-0.350524, -1.184481, 
-0.350543, -1.185414, 
-0.349499, -1.184947, 
-0.349215, -1.185687, 
-0.349513, -1.184876, 
-0.351278, -1.183634, 
-0.347717, -1.187135, 
-0.350578, -1.184181, 
-0.349111, -1.186150, 
-0.351076, -1.183615, 
-0.352019, -1.182562, 
-0.350073, -1.185080, 
-0.348715, -1.185583, 
-0.350463, -1.184958, 
-0.350715, -1.183852, 
-0.350259, -1.184564, 
-0.349301, -1.184490, 
-0.349951, -1.184208, 
-0.349430, -1.186466, 
-0.348600, -1.185176, 
-0.348834, -1.185077, 
-0.351000, -1.183137, 
-0.350428, -1.184444, 
-0.349896, -1.185064, 
-0.350059, -1.184991, 
-0.349850, -1.183958, 
-0.351299, -1.183420, 
-0.350013, -1.184048, 
-0.350996, -1.183662, 
-0.348854, -1.184989, 
-0.349883, -1.185893, 
-0.351406, -1.183042, 
-0.350285, -1.184528, 
-0.350722, -1.184219, 
-0.349871, -1.185606, 
-0.350867, -1.184227, 
-0.349575, -1.185324, 
-0.349969, -1.184808, 
-0.350562, -1.183283, 
-0.347875, -1.186688, 
-0.352483, -1.181988, 
-0.348023, -1.186685, 
-0.349106, -1.185684, 
-0.350050, -1.184048, 
-0.352503, -1.182446, 
-0.350172, -1.183497, 
-0.349966, -1.185073, 
-0.349832, -1.184783, 
-0.348919, -1.186237, 
-0.349848, -1.184674, 
-0.348766, -1.186116, 
-0.349524, -1.186000, 
-0.349254, -1.185877, 
-0.349591, -1.185028, 
-0.351086, -1.183716, 
-0.347627, -1.187337, 
-0.351645, -1.183667, 
-0.349272, -1.185733, 
-0.349533, -1.185274, 
-0.351208, -1.184264, 
-0.348314, -1.187007, 
-0.350877, -1.183817, 
-0.350576, -1.183959, 
-0.351398, -1.182997, 
-0.349500, -1.185070, 
-0.348705, -1.185931, 
-0.349996, -1.184995, 
-0.350496, -1.183879, 
-0.351199, -1.184446, 
-0.350866, -1.184418, 
-0.350632, -1.184392, 
-0.347177, -1.188257, 
-0.349177, -1.186236, 
-0.348523, -1.185305, 
-0.350193, -1.184768, 
-0.350596, -1.183649, 
-0.349622, -1.186379, 
-0.349368, -1.185128, 
-0.349967, -1.184462, 
-0.349569, -1.185628, 
-0.348612, -1.186014, 
-0.349873, -1.184932, 
-0.349304, -1.185069, 
-0.349579, -1.185152, 
-0.349021, -1.185035, 
-0.349538, -1.185679, 
-0.353062, -1.182244, 
-0.349502, -1.184223, 
-0.349647, -1.185966, 
-0.350494, -1.184078, 
-0.349813, -1.184412, 
-0.350887, -1.183497, 
-0.350705, -1.184009, 
-0.350025, -1.185620, 
-0.349909, -1.184740, 
-0.349375, -1.186005, 
-0.351128, -1.183418, 
-0.349954, -1.184913, 
-0.350615, -1.184402, 
-0.350580, -1.184811, 
-0.350411, -1.183521, 
-0.350938, -1.184838, 
-0.350219, -1.184732, 
-0.351384, -1.184688, 
-0.350712, -1.184501, 
-0.348650, -1.186078, 
-0.349658, -1.185555, 
-0.348669, -1.185861, 
-0.350505, -1.185451, 
-0.350516, -1.184882, 
-0.348067, -1.186569, 
-0.349065, -1.187377, 
-0.350028, -1.184236, 
-0.350126, -1.185293, 
-0.348775, -1.186259, 
-0.349593, -1.184663, 
-0.348818, -1.186659, 
-0.350010, -1.184925, 
-0.348953, -1.185924, 
-0.351060, -1.183208, 
-0.349351, -1.185429, 
-0.349618, -1.185148, 
-0.349749, -1.185701, 
-0.350625, -1.183962, 
-0.350471, -1.184905, 
-0.348270, -1.187259, 
-0.350753, -1.184932, 
-0.348962, -1.185514, 
-0.349790, -1.184731, 
-0.350576, -1.185075, 
-0.350477, -1.185112, 
-0.348255, -1.186953, 
-0.351751, -1.183932, 
-0.349699, -1.185194, 
-0.348915, -1.187418, 
-0.349196, -1.185091, 
-0.349131, -1.186193, 
-0.350851, -1.184075, 
-0.350789, -1.184557, 
-0.349262, -1.185950, 
-0.349449, -1.186131, 
-0.349820, -1.185771, 
-0.349825, -1.183858, 
-0.349968, -1.185290, 
-0.350515, -1.184695, 
-0.348292, -1.186563, 
-0.349166, -1.186518, 
-0.350002, -1.185458, 
-0.349466, -1.186278, 
-0.349990, -1.185679, 
-0.349480, -1.185891, 
-0.350444, -1.185134, 
-0.350404, -1.185111, 
-0.349384, -1.185726, 
-0.349383, -1.186336, 
-0.350253, -1.185154, 
-0.352147, -1.182935, 
-0.347837, -1.188879, 
-0.349201, -1.185501, 
-0.349791, -1.185049, 
-0.352372, -1.182056, 
-0.348864, -1.186282, 
-0.351326, -1.184014, 
-0.351435, -1.184743, 
-0.350337, -1.185378, 
-0.350242, -1.185912, 
-0.350127, -1.185736, 
-0.349168, -1.186066, 
-0.349168, -1.186479, 
-0.348213, -1.187091, 
-0.351256, -1.183820, 
-0.350035, -1.185341, 
-0.348265, -1.186372, 
-0.349674, -1.186056, 
-0.351140, -1.184787, 
-0.351339, -1.184079, 
-0.349321, -1.186084, 
-0.349463, -1.185713, 
-0.349014, -1.186311, 
-0.352132, -1.183601, 
-0.347847, -1.187045, 
-0.349687, -1.187060, 
-0.349092, -1.186040, 
-0.348391, -1.186364, 
-0.348934, -1.186038, 
-0.348483, -1.187211, 
-0.348917, -1.186466, 
-0.348255, -1.187424, 
-0.348444, -1.187281, 
-0.350123, -1.185619, 
-0.349987, -1.184889, 
-0.350607, -1.184775, 
-0.350352, -1.185971, 
-0.349647, -1.185933, 
-0.349194, -1.187389, 
-0.349683, -1.186189, 
-0.349379, -1.186596, 
-0.347786, -1.188162, 
-0.349218, -1.185261, 
-0.348285, -1.187280, 
-0.349585, -1.186000, 
-0.350228, -1.185792, 
-0.348486, -1.186343, 
-0.349604, -1.185792, 
-0.349986, -1.185051, 
-0.347844, -1.188705, 
-0.350081, -1.185092, 
-0.350016, -1.185993, 
-0.349523, -1.186161, 
-0.348813, -1.186798, 
-0.350250, -1.185949, 
-0.348089, -1.187979, 
-0.349843, -1.185997, 
-0.349246, -1.185992, 
-0.349171, -1.185899, 
-0.347793, -1.188303, 
-0.350395, -1.185830, 
-0.348189, -1.188161, 
-0.348719, -1.186017, 
-0.350384, -1.185609, 
-0.348788, -1.186419, 
-0.348728, -1.186699, 
-0.349337, -1.186360, 
-0.348703, -1.186610, 
-0.349292, -1.186061, 
-0.347785, -1.187816, 
-0.349474, -1.185622, 
-0.349786, -1.185382, 
-0.350134, -1.185272, 
-0.349556, -1.186361, 
-0.349011, -1.187013, 
-0.348677, -1.187024, 
-0.351880, -1.184757, 
-0.348814, -1.187771, 
-0.349107, -1.186574, 
-0.349257, -1.186724, 
-0.348952, -1.187604, 
-0.349692, -1.186041, 
-0.350541, -1.184274, 
-0.350091, -1.185511, 
-0.349710, -1.186245, 
-0.348138, -1.187342, 
-0.351693, -1.184517, 
-0.351577, -1.184881, 
-0.349873, -1.185854, 
-0.348293, -1.187609, 
-0.349015, -1.186496, 
-0.349014, -1.187068, 
-0.349983, -1.186266, 
-0.348947, -1.186706, 
-0.349282, -1.186088, 
-0.351655, -1.184210, 
-0.350592, -1.184687, 
-0.348316, -1.188021, 
-0.349014, -1.187036, 
-0.348058, -1.187744, 
-0.349426, -1.186159, 
-0.349255, -1.186696, 
-0.350000, -1.186595, 
-0.348952, -1.187760, 
-0.347115, -1.188510, 
-0.348823, -1.187811, 
-0.349244, -1.185902, 
-0.350963, -1.185590, 
-0.348709, -1.187258, 
-0.348853, -1.188046, 
-0.348737, -1.187247, 
-0.349433, -1.187618, 
-0.350597, -1.185180, 
-0.350088, -1.186527, 
-0.347679, -1.188347, 
-0.348855, -1.187101, 
-0.348459, -1.187557, 
-0.349215, -1.186326, 
-0.348472, -1.188058, 
-0.348805, -1.186947, 
-0.349250, -1.186077, 
-0.348655, -1.187147, 
-0.349105, -1.187241, 
-0.348448, -1.187460, 
-0.350898, -1.185001, 
-0.347548, -1.188084, 
-0.348824, -1.187777, 
-0.349039, -1.187878, 
-0.348516, -1.187759, 
-0.348528, -1.187696, 
-0.349492, -1.184996, 
-0.349597, -1.186097, 
-0.349570, -1.186387, 
-0.348267, -1.188366, 
-0.350929, -1.184889, 
-0.348801, -1.187680, 
-0.348474, -1.187614, 
-0.348089, -1.187376, 
-0.348458, -1.187434, 
-0.349324, -1.186202, 
-0.348050, -1.187761, 
-0.348934, -1.186228, 
-0.349003, -1.187443, 
-0.350055, -1.186670, 
-0.349853, -1.185655, 
-0.348788, -1.187465, 
-0.348057, -1.188781, 
-0.348274, -1.187559, 
-0.348516, -1.187912, 
-0.348888, -1.186951, 
-0.349742, -1.186666, 
-0.349004, -1.188093, 
-0.349901, -1.187281, 
-0.347576, -1.189053, 
-0.349438, -1.186917, 
-0.349536, -1.186790, 
-0.348486, -1.187645, 
-0.348700, -1.186966, 
-0.349544, -1.186487, 
-0.349981, -1.186082, 
-0.350127, -1.186677, 
-0.350239, -1.186575, 
-0.350367, -1.185869, 
-0.347520, -1.188347, 
-0.348707, -1.187547, 
-0.349503, -1.187060, 
-0.348358, -1.188539, 
-0.350564, -1.184790, 
-0.347839, -1.188275, 
-0.348594, -1.187901, 
-0.348078, -1.187469, 
-0.348442, -1.187319, 
-0.350597, -1.185306, 
-0.348540, -1.187629, 
-0.349646, -1.186000, 
-0.348760, -1.188130, 
-0.349467, -1.186623, 
-0.349066, -1.186712, 
-0.350362, -1.186166, 
-0.349163, -1.186651, 
-0.346902, -1.188899, 
-0.350991, -1.185611, 
-0.350116, -1.186548, 
-0.350847, -1.185008, 
-0.349981, -1.186459, 
-0.350333, -1.185830, 
-0.347088, -1.189206, 
-0.347315, -1.189130, 
-0.348776, -1.187619, 
